Blockbuster,Crime/Mystery,Factual,Fantasy/SciFi,Feel Good,STARS,Thrill Factor,Title,Title with year removed,Type,Url,Words In Title,Year,Year  Filter,Year  Filter (copy),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Duration,Family,Fantasy,Film Noir,Game Show,History,Horror,Imdb Rating,Music,Musical,Mystery,News,Number of Records,Rating Count,Reality TV,Romance,Sci Fi,Short,Sport,Talk Show,Thriller,War,Western
Yes,No,No,No,Yes,4.5 stars,No,Der Vagabund und das Kind (1921),Der Vagabund und das Kind ,video.movie,http://www.imdb.com/title/tt0012349/,der vagabund und das kind,"1,921",1921,1921,0,0,0,0,0,1,0,0,1,3240,1,0,0,0,0,0,8.4,0,0,0,0,1,40550,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Goldrausch (1925),Goldrausch ,video.movie,http://www.imdb.com/title/tt0015864/,goldrausch,"1,925",1925,1925,0,0,1,0,0,1,0,0,0,5700,1,0,0,0,0,0,8.3,0,0,0,0,1,45319,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,No,4.5 stars,No,Metropolis (1927),Metropolis ,video.movie,http://www.imdb.com/title/tt0017136/,metropolis,"1,927",1927,1927,0,0,0,0,0,0,0,0,1,9180,0,0,0,0,0,0,8.4,0,0,0,0,1,81007,0,0,1,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Der General (1926),Der General ,video.movie,http://www.imdb.com/title/tt0017925/,der general,"1,926",1926,1926,1,0,1,0,0,1,0,0,0,6420,0,0,0,0,0,0,8.3,0,0,0,0,1,37521,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Lichter der Großstadt (1931),Lichter der Großstadt ,video.movie,http://www.imdb.com/title/tt0021749/,lichter der gro stadt,"1,931",1931,1931,0,0,0,0,0,1,0,0,1,5220,0,0,0,0,0,0,8.7,0,0,0,0,1,70057,0,1,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,Yes,M (1931),M ,video.movie,http://www.imdb.com/title/tt0022100/,m,"1,931",1931,1931,0,0,0,0,0,0,1,0,1,7020,0,0,0,0,0,0,8.5,0,0,0,0,1,73726,0,0,0,0,0,0,1,0,0
No,No,No,No,Yes,4.5 stars,No,Es geschah in einer Nacht (1934),Es geschah in einer Nacht ,video.movie,http://www.imdb.com/title/tt0025316/,es geschah in einer nacht,"1,934",1934,1934,0,0,0,0,0,1,0,0,0,6300,0,0,0,0,0,0,8.3,0,0,0,0,1,46503,0,1,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Moderne Zeiten (1936),Moderne Zeiten ,video.movie,http://www.imdb.com/title/tt0027977/,moderne zeiten,"1,936",1936,1936,0,0,0,0,0,1,0,0,1,5220,0,0,0,0,0,0,8.6,0,0,0,0,1,90847,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Vom Winde verweht (1939),Vom Winde verweht ,video.movie,http://www.imdb.com/title/tt0031381/,vom winde verweht,"1,939",1939,1939,0,0,0,0,0,0,0,0,1,14280,0,0,0,0,0,0,8.2,0,0,0,0,1,160414,0,1,0,0,0,0,0,1,0
Yes,No,No,No,No,4.5 stars,No,Mr. Smith geht nach Washington (1939),Mr. Smith geht nach Washington ,video.movie,http://www.imdb.com/title/tt0031679/,mr smith geht nach washington,"1,939",1939,1939,0,0,0,0,0,0,0,0,1,7740,0,0,0,0,0,0,8.4,0,0,0,0,1,58169,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,Yes,4.5 stars,No,Der Zauberer von Oz (1939),Der Zauberer von Oz ,video.movie,http://www.imdb.com/title/tt0032138/,der zauberer von oz,"1,939",1939,1939,0,0,1,0,0,0,0,0,0,6120,1,1,0,0,0,0,8.1,0,0,0,0,1,209506,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Früchte des Zorns (1940),Früchte des Zorns ,video.movie,http://www.imdb.com/title/tt0032551/,fr chte des zorns,"1,940",1940,1940,0,0,0,0,0,0,0,0,1,7740,0,0,0,0,0,0,8.2,0,0,0,0,1,45737,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Der große Diktator (1940),Der große Diktator ,video.movie,http://www.imdb.com/title/tt0032553/,der gro e diktator,"1,940",1940,1940,0,0,0,0,0,1,0,0,1,7500,0,0,0,0,0,0,8.5,0,0,0,0,1,87969,0,0,0,0,0,0,0,1,0
Yes,Yes,No,No,No,4.5 stars,Yes,Rebecca (1940),Rebecca ,video.movie,http://www.imdb.com/title/tt0032976/,rebecca,"1,940",1940,1940,0,0,0,0,0,0,0,0,1,7800,0,0,0,0,0,0,8.3,0,0,1,0,1,65670,0,0,0,0,0,0,1,0,0
Yes,Yes,No,No,No,4.5 stars,No,Citizen Kane (1941),Citizen Kane ,video.movie,http://www.imdb.com/title/tt0033467/,citizen kane,"1,941",1941,1941,0,0,0,0,0,0,0,0,1,7140,0,0,0,0,0,0,8.5,0,0,1,0,1,228617,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Die Spur des Falken (1941),Die Spur des Falken ,video.movie,http://www.imdb.com/title/tt0033870/,die spur des falken,"1,941",1941,1941,0,0,0,0,0,0,1,0,1,6000,0,0,1,0,0,0,8.2,0,0,0,0,1,86012,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Casablanca (1942),Casablanca ,video.movie,http://www.imdb.com/title/tt0034583/,casablanca,"1,942",1942,1942,0,0,0,0,0,0,0,0,1,6120,0,0,0,0,0,0,8.6,0,0,0,0,1,296802,0,1,0,0,0,0,0,1,0
Yes,Yes,No,No,No,4.5 stars,No,Frau ohne Gewissen (1944),Frau ohne Gewissen ,video.movie,http://www.imdb.com/title/tt0036775/,frau ohne gewissen,"1,944",1944,1944,0,0,0,0,0,0,1,0,1,6420,0,0,1,0,0,0,8.5,0,0,0,0,1,71266,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Die besten Jahre unseres Lebens (1946),Die besten Jahre unseres Lebens ,video.movie,http://www.imdb.com/title/tt0036868/,die besten jahre unseres lebens,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,10320,0,0,0,0,0,0,8.3,0,0,0,0,1,30002,0,1,0,0,0,0,0,1,0
No,Yes,No,No,No,4.5 stars,No,Tote schlafen fest (1946),Tote schlafen fest ,video.movie,http://www.imdb.com/title/tt0038355/,tote schlafen fest,"1,946",1946,1946,0,0,0,0,0,0,1,0,0,6840,0,0,1,0,0,0,8.1,0,0,1,0,1,50020,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,Yes,4.5 stars,No,It's a Wonderful Life (1946),It's a Wonderful Life ,video.movie,http://www.imdb.com/title/tt0038650/,it s a wonderful life,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,7800,1,1,0,0,0,0,8.7,0,0,0,0,1,197764,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Berüchtigt (1946),Berüchtigt ,video.movie,http://www.imdb.com/title/tt0038787/,ber chtigt,"1,946",1946,1946,0,0,0,0,0,0,0,0,1,6060,0,0,1,0,0,0,8.2,0,0,0,0,1,56306,0,1,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Fahrraddiebe (1948),Fahrraddiebe ,video.movie,http://www.imdb.com/title/tt0040522/,fahrraddiebe,"1,948",1948,1948,0,0,0,0,0,0,0,0,1,5280,0,0,0,0,0,0,8.4,0,0,0,0,1,63797,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,Yes,Cocktail für eine Leiche (1948),Cocktail für eine Leiche ,video.movie,http://www.imdb.com/title/tt0040746/,cocktail f r eine leiche,"1,948",1948,1948,0,0,0,0,0,0,1,0,1,4800,0,0,0,0,0,0,8.1,0,0,0,0,1,72370,0,0,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Der Schatz der Sierra Madre (1948),Der Schatz der Sierra Madre ,video.movie,http://www.imdb.com/title/tt0040897/,der schatz der sierra madre,"1,948",1948,1948,1,0,1,0,0,0,0,0,1,7560,0,0,0,0,0,0,8.4,0,0,0,0,1,59298,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Der dritte Mann (1949),Der dritte Mann ,video.movie,http://www.imdb.com/title/tt0041959/,der dritte mann,"1,949",1949,1949,0,0,0,0,0,0,0,0,0,6240,0,0,1,0,0,0,8.4,0,0,1,0,1,85964,0,0,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Alles über Eva (1950),Alles über Eva ,video.movie,http://www.imdb.com/title/tt0042192/,alles ber eva,"1,950",1950,1950,0,0,0,0,0,0,0,0,1,8280,0,0,0,0,0,0,8.4,0,0,0,0,1,61738,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Rashomon (1950),Rashomon ,video.movie,http://www.imdb.com/title/tt0042876/,rashomon,"1,950",1950,1950,0,0,0,0,0,0,1,0,1,5280,0,0,0,0,0,0,8.4,0,0,0,0,1,74219,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Boulevard der Dämmerung (1950),Boulevard der Dämmerung ,video.movie,http://www.imdb.com/title/tt0043014/,boulevard der d mmerung,"1,950",1950,1950,0,0,0,0,0,0,0,0,1,6600,0,0,1,0,0,0,8.6,0,0,0,0,1,102072,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Der Fremde im Zug (1951),Der Fremde im Zug ,video.movie,http://www.imdb.com/title/tt0044079/,der fremde im zug,"1,951",1951,1951,0,0,0,0,0,0,1,0,0,5520,0,0,1,0,0,0,8.1,0,0,0,0,1,69387,0,0,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Zwölf Uhr mittags (1952),Zwölf Uhr mittags ,video.movie,http://www.imdb.com/title/tt0044706/,zw lf uhr mittags,"1,952",1952,1952,0,0,0,0,0,0,0,0,1,5100,0,0,0,0,0,0,8.2,0,0,0,0,1,60817,0,0,0,0,0,0,0,0,1
Yes,No,No,No,No,4.5 stars,No,Ikiru - Einmal richtig leben (1952),Ikiru - Einmal richtig leben ,video.movie,http://www.imdb.com/title/tt0044741/,ikiru einmal richtig leben,"1,952",1952,1952,0,0,0,0,0,0,0,0,1,8580,0,0,0,0,0,0,8.4,0,0,0,0,1,29478,0,0,0,0,0,0,0,0,0
No,No,No,No,Yes,4.5 stars,No,Du sollst mein Glücksstern sein (1952),Du sollst mein Glücksstern sein ,video.movie,http://www.imdb.com/title/tt0045152/,du sollst mein gl cksstern sein,"1,952",1952,1952,0,0,0,0,0,1,0,0,0,6180,0,0,0,0,0,0,8.4,0,1,0,0,1,108115,0,1,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Ein Herz und eine Krone (1953),Ein Herz und eine Krone ,video.movie,http://www.imdb.com/title/tt0046250/,ein herz und eine krone,"1,953",1953,1953,0,0,0,0,0,1,0,0,1,7080,0,0,0,0,0,0,8.1,0,0,0,0,1,69739,0,1,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Stalag 17 (1953),Stalag 17 ,video.movie,http://www.imdb.com/title/tt0046359/,stalag,"1,953",1953,1953,0,0,0,0,0,1,0,0,1,6960,0,0,0,0,0,0,8.1,0,0,0,0,1,36013,0,0,0,0,0,0,0,1,0
No,Yes,No,No,No,4.5 stars,Yes,Die Teuflischen (1955),Die Teuflischen ,video.movie,http://www.imdb.com/title/tt0046911/,die teuflischen,"1,955",1955,1955,0,0,0,0,0,0,0,0,0,6840,0,0,0,0,0,1,8.3,0,0,1,0,1,29309,0,0,0,0,0,0,1,0,0
No,Yes,No,No,No,4.5 stars,Yes,Bei Anruf Mord (1954),Bei Anruf Mord ,video.movie,http://www.imdb.com/title/tt0046912/,bei anruf mord,"1,954",1954,1954,0,0,0,0,0,0,1,0,0,6300,0,0,0,0,0,0,8.2,0,0,0,0,1,72579,0,0,0,0,0,0,1,0,0
Yes,Yes,No,No,No,4.5 stars,No,Die Faust im Nacken (1954),Die Faust im Nacken ,video.movie,http://www.imdb.com/title/tt0047296/,die faust im nacken,"1,954",1954,1954,0,0,0,0,0,0,1,0,1,6480,0,0,0,0,0,0,8.3,0,0,0,0,1,74023,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Das Fenster zum Hof (1954),Das Fenster zum Hof ,video.movie,http://www.imdb.com/title/tt0047396/,das fenster zum hof,"1,954",1954,1954,0,0,0,0,0,0,0,0,0,6720,0,0,0,0,0,0,8.6,0,0,1,0,1,229323,0,0,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Die sieben Samurai (1954),Die sieben Samurai ,video.movie,http://www.imdb.com/title/tt0047478/,die sieben samurai,"1,954",1954,1954,1,0,0,0,0,0,0,0,1,12420,0,0,0,0,0,0,8.8,0,0,0,0,1,172690,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Das Lied der Straße (1954),Das Lied der Straße ,video.movie,http://www.imdb.com/title/tt0047528/,das lied der stra e,"1,954",1954,1954,0,0,0,0,0,0,0,0,1,6480,0,0,0,0,0,0,8.2,0,0,0,0,1,35143,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Die Nacht des Jägers (1955),Die Nacht des Jägers ,video.movie,http://www.imdb.com/title/tt0048424/,die nacht des j gers,"1,955",1955,1955,0,0,0,0,0,0,1,0,0,5580,0,0,1,0,0,0,8.1,0,0,0,0,1,47739,0,0,0,0,0,0,1,0,0
No,Yes,No,No,No,4.5 stars,Yes,Killing (1956),Killing ,video.movie,http://www.imdb.com/title/tt0049406/,killing,"1,956",1956,1956,0,0,0,0,0,0,1,0,0,5100,0,0,1,0,0,0,8.1,0,0,0,0,1,47740,0,0,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Die zwölf Geschworenen (1957),Die zwölf Geschworenen ,video.movie,http://www.imdb.com/title/tt0050083/,die zw lf geschworenen,"1,957",1957,1957,0,0,0,0,0,0,0,0,1,5760,0,0,0,0,0,0,8.9,0,0,0,0,1,293725,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Die Brücke am Kwai (1957),Die Brücke am Kwai ,video.movie,http://www.imdb.com/title/tt0050212/,die br cke am kwai,"1,957",1957,1957,0,0,1,0,0,0,0,0,1,9660,0,0,0,0,0,0,8.3,0,0,0,0,1,109972,0,0,0,0,0,0,0,1,0
Yes,No,No,No,No,4.5 stars,No,Wege zum Ruhm (1957),Wege zum Ruhm ,video.movie,http://www.imdb.com/title/tt0050825/,wege zum ruhm,"1,957",1957,1957,0,0,0,0,0,0,0,0,1,5280,0,0,0,0,0,0,8.5,0,0,0,0,1,84945,0,0,0,0,0,0,0,1,0
Yes,No,No,Yes,No,4.5 stars,No,Das siebente Siegel (1957),Das siebente Siegel ,video.movie,http://www.imdb.com/title/tt0050976/,das siebente siegel,"1,957",1957,1957,0,0,0,0,0,0,0,0,1,5760,0,1,0,0,0,0,8.3,0,0,0,0,1,80684,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Wilde Erdbeeren (1957),Wilde Erdbeeren ,video.movie,http://www.imdb.com/title/tt0050986/,wilde erdbeeren,"1,957",1957,1957,0,0,0,0,0,0,0,0,1,5460,0,0,0,0,0,0,8.3,0,0,0,0,1,45457,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Zeugin der Anklage (1957),Zeugin der Anklage ,video.movie,http://www.imdb.com/title/tt0051201/,zeugin der anklage,"1,957",1957,1957,0,0,0,0,0,0,1,0,1,6960,0,0,0,0,0,0,8.5,0,0,1,0,1,40385,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Im Zeichen des Bösen (1958),Im Zeichen des Bösen ,video.movie,http://www.imdb.com/title/tt0052311/,im zeichen des b sen,"1,958",1958,1958,0,0,0,0,0,0,1,0,0,5700,0,0,1,0,0,0,8.2,0,0,0,0,1,55474,0,0,0,0,0,0,1,0,0
No,Yes,No,No,Yes,4.5 stars,Yes,Vertigo - Aus dem Reich der Toten (1958),Vertigo - Aus dem Reich der Toten ,video.movie,http://www.imdb.com/title/tt0052357/,vertigo aus dem reich der toten,"1,958",1958,1958,0,0,0,0,0,0,0,0,0,7680,0,0,0,0,0,0,8.5,0,0,1,0,1,176267,0,1,0,0,0,0,1,0,0
Yes,No,No,No,No,4.5 stars,No,Ben Hur (1959),Ben Hur ,video.movie,http://www.imdb.com/title/tt0052618/,ben hur,"1,959",1959,1959,0,0,1,0,0,0,0,0,1,12720,0,0,0,0,0,0,8.2,0,0,0,0,1,115402,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Der unsichtbare Dritte (1959),Der unsichtbare Dritte ,video.movie,http://www.imdb.com/title/tt0053125/,der unsichtbare dritte,"1,959",1959,1959,1,0,1,0,0,0,0,0,0,8160,0,0,0,0,0,0,8.5,0,0,1,0,1,166029,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Sie küßten und sie schlugen ihn (1959),Sie küßten und sie schlugen ihn ,video.movie,http://www.imdb.com/title/tt0053198/,sie k ten und sie schlugen ihn,"1,959",1959,1959,0,0,0,0,0,0,1,0,1,5940,0,0,0,0,0,0,8.2,0,0,0,0,1,49996,0,0,0,0,0,0,0,0,0
No,No,No,No,Yes,4.5 stars,No,Manche mögen's heiß (1959),Manche mögen's heiß ,video.movie,http://www.imdb.com/title/tt0053291/,manche m gen s hei,"1,959",1959,1959,0,0,0,0,0,1,0,0,0,7200,0,0,0,0,0,0,8.4,0,0,0,0,1,129721,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Das Appartement (1960),Das Appartement ,video.movie,http://www.imdb.com/title/tt0053604/,das appartement,"1,960",1960,1960,0,0,0,0,0,1,0,0,1,7500,0,0,0,0,0,0,8.4,0,0,0,0,1,77601,0,1,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Das süße Leben (1960),Das süße Leben ,video.movie,http://www.imdb.com/title/tt0053779/,das s e leben,"1,960",1960,1960,0,0,0,0,0,1,0,0,1,10440,0,0,0,0,0,0,8.1,0,0,0,0,1,35788,0,0,0,0,0,0,0,0,0
No,Yes,No,No,No,4.5 stars,Yes,Psycho (1960),Psycho ,video.movie,http://www.imdb.com/title/tt0054215/,psycho,"1,960",1960,1960,0,0,0,0,0,0,0,0,0,6540,0,0,0,0,0,1,8.6,0,0,1,0,1,296676,0,0,0,0,0,0,1,0,0
Yes,No,Yes,No,No,4.5 stars,No,Haie der Großstadt (1961),Haie der Großstadt ,video.movie,http://www.imdb.com/title/tt0054997/,haie der gro stadt,"1,961",1961,1961,0,0,0,0,0,0,0,0,1,8040,0,0,0,0,0,0,8.1,0,0,0,0,1,47138,0,0,0,0,1,0,0,0,0
Yes,No,Yes,No,No,4.5 stars,No,Das Urteil von Nürnberg (1961),Das Urteil von Nürnberg ,video.movie,http://www.imdb.com/title/tt0055031/,das urteil von n rnberg,"1,961",1961,1961,0,0,0,0,0,0,0,0,1,11160,0,0,0,0,1,0,8.3,0,0,0,0,1,28790,0,0,0,0,0,0,0,1,0
Yes,No,No,No,No,4.5 stars,No,Die Leibwache (1961),Die Leibwache ,video.movie,http://www.imdb.com/title/tt0055630/,die leibwache,"1,961",1961,1961,1,0,1,0,0,0,0,0,0,6600,0,0,0,0,0,0,8.4,0,0,0,0,1,53475,0,0,0,0,0,0,0,0,0
Yes,No,Yes,No,No,4.5 stars,No,Lawrence von Arabien (1962),Lawrence von Arabien ,video.movie,http://www.imdb.com/title/tt0056172/,lawrence von arabien,"1,962",1962,1962,0,0,1,0,1,0,0,0,1,12960,0,0,0,0,0,0,8.4,0,0,0,0,1,140727,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Wer die Nachtigall stört (1962),Wer die Nachtigall stört ,video.movie,http://www.imdb.com/title/tt0056592/,wer die nachtigall st rt,"1,962",1962,1962,0,0,0,0,0,0,1,0,1,7740,0,0,0,0,0,0,8.4,0,0,1,0,1,154978,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,No,4.5 stars,No,Achteinhalb (1963),Achteinhalb ,video.movie,http://www.imdb.com/title/tt0056801/,achteinhalb,"1,963",1963,1963,0,0,0,0,0,0,0,0,1,8280,0,1,0,0,0,0,8.2,0,0,0,0,1,58426,0,0,0,0,0,0,0,0,0
Yes,No,Yes,No,No,0.5 stars,No,Dr. Seltsam\,,5700,die Bombe zu lieben (1964),oder wie ich lernte\,"263,157",263157,263157,782,2,0,0,0,0,0,1,0,8.6,0,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,0,0
Yes,No,Yes,No,No,4.5 stars,No,Gesprengte Ketten (1963),Gesprengte Ketten ,video.movie,http://www.imdb.com/title/tt0057115/,gesprengte ketten,"1,963",1963,1963,0,0,1,0,0,0,0,0,1,10320,0,0,0,0,1,0,8.3,0,0,0,0,1,120161,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Für eine Handvoll Dollar (1964),Für eine Handvoll Dollar ,video.movie,http://www.imdb.com/title/tt0058461/,f r eine handvoll dollar,"1,964",1964,1964,0,0,0,0,0,0,0,0,0,5940,0,0,0,0,0,0,8.1,0,0,0,0,1,92532,0,0,0,0,0,0,0,0,1
Yes,Yes,Yes,No,No,4.5 stars,No,Schlacht um Algier (1966),Schlacht um Algier ,video.movie,http://www.imdb.com/title/tt0058946/,schlacht um algier,"1,966",1966,1966,0,0,0,0,0,0,1,0,1,7260,0,0,0,0,1,0,8.2,0,0,0,0,1,25876,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Für ein paar Dollar mehr (1965),Für ein paar Dollar mehr ,video.movie,http://www.imdb.com/title/tt0059578/,f r ein paar dollar mehr,"1,965",1965,1965,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,8.4,0,0,0,0,1,104305,0,0,0,0,0,0,0,0,1
Yes,No,No,No,No,5 stars,No,Zwei glorreiche Halunken (1966),Zwei glorreiche Halunken ,video.movie,http://www.imdb.com/title/tt0060196/,zwei glorreiche halunken,"1,966",1966,1966,0,0,1,0,0,0,0,0,0,9660,0,0,0,0,0,0,9.0,0,0,0,0,1,354997,0,0,0,0,0,0,0,0,1
Yes,No,No,No,No,4.5 stars,No,Persona (1966),Persona ,video.movie,http://www.imdb.com/title/tt0060827/,persona,"1,966",1966,1966,0,0,0,0,0,0,0,0,1,5100,0,0,0,0,0,0,8.2,0,0,0,0,1,40639,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Wer hat Angst vor Virginia Woolf? (1966),Wer hat Angst vor Virginia Woolf? ,video.movie,http://www.imdb.com/title/tt0061184/,wer hat angst vor virginia woolf,"1,966",1966,1966,0,0,0,0,0,0,0,0,1,7860,0,0,0,0,0,0,8.2,0,0,0,0,1,41330,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Der Unbeugsame (1967),Der Unbeugsame ,video.movie,http://www.imdb.com/title/tt0061512/,der unbeugsame,"1,967",1967,1967,0,0,0,0,0,0,1,0,1,7560,0,0,0,0,0,0,8.2,0,0,0,0,1,90643,0,0,0,0,0,0,0,0,0
Yes,No,No,No,Yes,4.5 stars,No,Die Reifeprüfung (1967),Die Reifeprüfung ,video.movie,http://www.imdb.com/title/tt0061722/,die reifepr fung,"1,967",1967,1967,0,0,0,0,0,1,0,0,1,6360,0,0,0,0,0,0,8.1,0,0,0,0,1,161502,0,1,0,0,0,0,0,0,0
Yes,Yes,No,Yes,No,4.5 stars,No,2001: Odyssee im Weltraum (1968),2001: Odyssee im Weltraum ,video.movie,http://www.imdb.com/title/tt0062622/,odyssee im weltraum,"1,968",1968,1968,0,0,1,0,0,0,0,0,0,9600,0,0,0,0,0,0,8.3,0,0,1,0,1,295641,0,0,1,0,0,0,0,0,0
Yes,Yes,Yes,No,No,4.5 stars,No,Butch Cassidy und Sundance Kid (1969),Butch Cassidy und Sundance Kid ,video.movie,http://www.imdb.com/title/tt0064115/,butch cassidy und sundance kid,"1,969",1969,1969,0,0,1,0,1,0,1,0,0,6600,0,0,0,0,0,0,8.2,0,0,0,0,1,111087,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Spiel mir das Lied vom Tod (1968),Spiel mir das Lied vom Tod ,video.movie,http://www.imdb.com/title/tt0064116/,spiel mir das lied vom tod,"1,968",1968,1968,0,0,0,0,0,0,0,0,0,10500,0,0,0,0,0,0,8.7,0,0,0,0,1,158065,0,0,0,0,0,0,0,0,1
Yes,Yes,No,Yes,No,4.5 stars,No,Uhrwerk Orange (1971),Uhrwerk Orange ,video.movie,http://www.imdb.com/title/tt0066921/,uhrwerk orange,"1,971",1971,1971,0,0,0,0,0,0,1,0,1,8160,0,0,0,0,0,0,8.4,0,0,0,0,1,386962,0,0,1,0,0,0,0,0,0
Yes,Yes,No,No,No,5 stars,No,Der Pate (1972),Der Pate ,video.movie,http://www.imdb.com/title/tt0068646/,der pate,"1,972",1972,1972,0,0,0,0,0,0,1,0,1,10500,0,0,0,0,0,0,9.2,0,0,0,0,1,821410,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,Yes,4.5 stars,No,Der Clou (1973),Der Clou ,video.movie,http://www.imdb.com/title/tt0070735/,der clou,"1,973",1973,1973,0,0,0,0,0,1,1,0,1,7740,0,0,0,0,0,0,8.4,0,0,0,0,1,127640,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,Yes,Chinatown (1974),Chinatown ,video.movie,http://www.imdb.com/title/tt0071315/,chinatown,"1,974",1974,1974,0,0,0,0,0,0,0,0,1,7800,0,0,0,0,0,0,8.3,0,0,1,0,1,159935,0,0,0,0,0,0,1,0,0
Yes,Yes,No,No,No,5 stars,No,Der Pate 2 (1974),Der Pate 2 ,video.movie,http://www.imdb.com/title/tt0071562/,der pate,"1,974",1974,1974,0,0,0,0,0,0,1,0,1,12000,0,0,0,0,0,0,9.1,0,0,0,0,1,541351,0,0,0,0,0,0,0,0,0
Yes,No,No,Yes,Yes,4.5 stars,No,Die Ritter der Kokosnuß (1975),Die Ritter der Kokosnuß ,video.movie,http://www.imdb.com/title/tt0071853/,die ritter der kokosnu,"1,975",1975,1975,0,0,1,0,0,1,0,0,0,5460,0,1,0,0,0,0,8.4,0,0,0,0,1,284563,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,No,Barry Lyndon (1975),Barry Lyndon ,video.movie,http://www.imdb.com/title/tt0072684/,barry lyndon,"1,975",1975,1975,0,0,0,0,0,0,0,0,1,11040,0,0,0,0,0,0,8.1,0,0,0,0,1,74677,0,0,0,0,0,0,0,0,0
Yes,Yes,No,No,No,4.5 stars,No,Hundstage (1975),Hundstage ,video.movie,http://www.imdb.com/title/tt0072890/,hundstage,"1,975",1975,1975,0,0,0,0,0,0,1,0,1,7500,0,0,0,0,0,0,8.1,0,0,0,0,1,137696,0,0,0,0,0,0,0,0,0
Yes,No,No,No,No,4.5 stars,Yes,Der weiße Hai (1975),Der weiße Hai ,video.movie,http://www.imdb.com/title/tt0073195/,der wei e hai,"1,975",1975,1975,0,0,1,0,0,0,0,0,0,7440,0,0,0,0,0,1,8.1,0,0,0,0,1,290528,0,0,0,0,0,0,1,0,0
